priority,family,dataset_name,title_en,issued,metadata_modified,formats,resource_count,first_resource_url,catalog_url
P0,"demand_buildings,energiedashboard",energiedashboard-ch-fullstande-gasspeicher-eu,energiedashboard.ch: Gas storage levels EU,2022-12-14T00:00:00,2026-03-06T05:38:53.314834,CSV,1,https://www.bfe-ogd.ch/ogd102_fuellstand_gasspeicher.csv,https://opendata.swiss/en/dataset/energiedashboard-ch-fullstande-gasspeicher-eu
P0,electricity_balance,absatz-und-stromverbrauchswerte-von-elektro-und-elektronischen-gerate-in-der-schweiz,,2022-12-21T00:00:00,2025-12-11T04:00:47.401207,CSV,3,https://www.uvek-gis.admin.ch/BFE/ogd/109/ogd109_catalog_geraetekategorien.csv,https://opendata.swiss/en/dataset/absatz-und-stromverbrauchswerte-von-elektro-und-elektronischen-gerate-in-der-schweiz
P0,electricity_balance,ruckerstattung-nach-art-15b-eng-fur-stromintensive-endverbraucher,,2017-12-12T00:00:00,2025-03-18T10:49:16.272893,SERVICE,1,https://pubdb.bfe.admin.ch/de/suche?keywords=397,https://opendata.swiss/en/dataset/ruckerstattung-nach-art-15b-eng-fur-stromintensive-endverbraucher
P0,electricity_balance,schweizerische-elektrizitatsstatistik-aufteilung-des-endverbrauchs-nach-verbrauchergruppen,,2017-12-12T00:00:00,2025-03-18T10:49:16.647688,SERVICE,1,https://pubdb.bfe.admin.ch/de/suche?keywords=400,https://opendata.swiss/en/dataset/schweizerische-elektrizitatsstatistik-aufteilung-des-endverbrauchs-nach-verbrauchergruppen
P0,electricity_balance,schweizerische-elektrizitatsstatistik-aussenhandel-der-schweiz,,2021-07-05T00:00:00,2025-03-18T10:49:17.085071,SERVICE,1,https://pubdb.bfe.admin.ch/de/suche?keywords=687,https://opendata.swiss/en/dataset/schweizerische-elektrizitatsstatistik-aussenhandel-der-schweiz
P0,electricity_balance,schweizerische-elektrizitatsstatistik-aussenhandel-der-schweiz-mit-elektrizitat-nach-landern,,2017-12-12T00:00:00,2025-03-18T10:49:17.479070,SERVICE,1,https://pubdb.bfe.admin.ch/de/suche?keywords=332,https://opendata.swiss/en/dataset/schweizerische-elektrizitatsstatistik-aussenhandel-der-schweiz-mit-elektrizitat-nach-landern
P0,electricity_balance,schweizerische-gesamtenergiestatistik-erdolbilanz-der-schweiz,,2024-12-13T00:00:00,2025-12-11T04:00:37.101441,CSV,1,https://www.uvek-gis.admin.ch/BFE/ogd/124/ogd124_erdölbilanz.csv,https://opendata.swiss/en/dataset/schweizerische-gesamtenergiestatistik-erdolbilanz-der-schweiz
P0,electricity_balance,stromlandschaft-schweiz,,2022-04-04T00:00:00,2025-12-11T04:00:39.336747,CSV,1,https://www.uvek-gis.admin.ch/BFE/ogd/85/ogd85_stromlandschaft.csv,https://opendata.swiss/en/dataset/stromlandschaft-schweiz
P0,electricity_balance,wettbewerbliche-ausschreibungen-fuer-stromeffizienzmassnahmen-gefoerderte-programme-und-projekte,,2017-12-12T00:00:00,2025-03-18T10:49:19.858917,SERVICE,1,https://pubdb.bfe.admin.ch/de/suche?keywords=396,https://opendata.swiss/en/dataset/wettbewerbliche-ausschreibungen-fuer-stromeffizienzmassnahmen-gefoerderte-programme-und-projekte
P0,electricity_balance,wochenstatistik-elektrizitatsbilanz-erzeugung-und-abgabe-elektrischer-energie-in-der-schweiz,,2017-12-12T00:00:00,2025-12-11T04:00:51.898868,"CSV,SERVICE",2,https://pubdb.bfe.admin.ch/de/suche?keywords=412,https://opendata.swiss/en/dataset/wochenstatistik-elektrizitatsbilanz-erzeugung-und-abgabe-elektrischer-energie-in-der-schweiz
