year,month,mean_eur_mwh,min_eur_mwh,max_eur_mwh,rows
2026,6,95.58999999722222,19.152144,144.88259,360
2026,7,93.94999999731183,21.712526,136.226753,744
2026,8,92.86000000537634,22.217879,140.918264,744
2026,9,105.48000000138889,28.599006,159.774213,720
2026,10,116.68000000402685,40.238339,165.027359,745
2026,11,137.99999999861112,89.953494,182.723995,720
2026,12,136.57000002553764,101.407194,180.612743,744
2027,1,128.68246158198926,89.731499,169.967802,744
2027,2,141.07089798511905,101.824409,176.655936,672
2027,3,116.5989564306864,72.343137,166.612553,743
2027,4,81.2163206125,10.557075,174.152497,720
2027,5,73.66602314784947,10.473955,141.436027,744
2027,6,62.70012172361111,9.553347,99.672649,720
2027,7,74.68439848655915,27.502965,111.435886,744
2027,8,61.8395564610215,21.068606,104.487081,744
2027,9,90.39724635555557,40.939619,125.943707,720
2027,10,89.92563982684564,43.856988,121.89987,745
2027,11,117.20826484861112,71.773244,153.028409,720
2027,12,115.04968753494623,81.063035,148.785378,744
2028,1,107.52762062365592,80.406557,143.504862,744
2028,2,125.45045904166666,99.836139,153.647449,696
2028,3,102.27892341722746,63.542218,147.700937,743
2028,4,51.72055199722222,11.324711,100.447364,720
2028,5,43.38387791666666,6.643974,70.668671,744
2028,6,39.58901460138889,3.662849,70.401644,720
2028,7,62.825278185483874,12.894816,90.512651,744
2028,8,47.25728159543011,6.582298,79.522774,744
2028,9,76.79943384305555,23.98342,99.391091,720
2028,10,85.65543771409396,43.910165,121.158257,745
2028,11,112.75182958055555,79.561356,142.394296,720
2028,12,106.21623960752689,84.50214,134.519791,744
2029,1,94.91132525537634,77.602284,117.916929,744
2029,2,92.40175899404761,74.75805,110.755569,672
2029,3,78.23574231090176,56.282002,106.499568,743
2029,4,64.49419157916667,18.228627,103.354084,720
2029,5,54.052767021505375,12.349079,87.678359,744
2029,6,49.370064461111106,11.129283,69.856651,720
2029,7,50.836632014784946,11.422446,72.635205,744
2029,8,56.967707134408606,13.459143,82.742294,744
2029,9,69.96997802916667,23.877956,90.071733,720
2029,10,76.08033384026845,41.505007,102.017477,745
2029,11,91.17030460833332,69.685035,113.862769,720
2029,12,85.88982861155914,70.939941,104.338087,744
2030,1,91.01919428360215,74.449993,107.628893,744
2030,2,88.61553999553571,72.439912,106.655409,672
2030,3,74.97561223283984,51.937962,101.674735,743
2030,4,61.6669136625,15.890463,91.804386,720
2030,5,51.63216650672043,11.721461,84.405669,744
2030,6,47.139244516666665,10.428881,68.37623,720
2030,7,48.64094295564516,10.655143,70.066836,744
2030,8,54.41628961827957,12.526388,80.7055,744
2030,9,66.92827704861111,21.110684,86.889329,720
2030,10,72.9870128442953,38.758589,98.677731,745
2030,11,87.43337504305556,67.21929,109.748818,720
2030,12,82.38405695026881,66.794416,105.654972,744
