year,month,hour,mean_eur_mwh
2026,6,0,104.9984544
2026,6,1,100.87935233333333
2026,6,2,98.1871812
2026,6,3,96.76454166666666
2026,6,4,96.85717466666667
2026,6,5,101.44241699999999
2026,6,6,112.94474946666668
2026,6,7,118.8737332
2026,6,8,113.57676886666667
2026,6,9,96.82975126666666
2026,6,10,74.44404286666666
2026,6,11,65.60399506666667
2026,6,12,55.37508486666666
2026,6,13,51.19037706666666
2026,6,14,51.620559
2026,6,15,59.09772073333333
2026,6,16,73.01034653333333
2026,6,17,109.33876013333334
2026,6,18,110.52412106666667
2026,6,19,123.96859393333334
2026,6,20,124.66082053333334
2026,6,21,119.59189113333333
2026,6,22,124.82618546666667
2026,6,23,109.55337746666667
2026,7,0,98.24896167741935
2026,7,1,94.67529632258065
2026,7,2,92.3941153548387
2026,7,3,91.24270164516129
2026,7,4,91.3967886451613
2026,7,5,95.56812577419355
2026,7,6,113.70635112903226
2026,7,7,119.2917119032258
2026,7,8,115.65033716129032
2026,7,9,98.1715129032258
2026,7,10,75.92340767741935
2026,7,11,66.7092409032258
2026,7,12,55.503876741935485
2026,7,13,50.911697612903225
2026,7,14,51.40135038709677
2026,7,15,59.490247064516126
2026,7,16,73.77682583870967
2026,7,17,110.53307651612903
2026,7,18,110.94308283870969
2026,7,19,125.24165712903226
2026,7,20,124.72699145161289
2026,7,21,119.87779606451613
2026,7,22,116.85082074193548
2026,7,23,102.5640264516129
2026,8,0,99.00111596774194
2026,8,1,95.43210041935484
2026,8,2,93.19248793548387
2026,8,3,92.16249767741935
2026,8,4,92.41752587096775
2026,8,5,96.50920664516129
2026,8,6,113.25203570967741
2026,8,7,117.8417805483871
2026,8,8,112.74580851612903
2026,8,9,94.65904532258065
2026,8,10,72.53628361290323
2026,8,11,63.49063506451613
2026,8,12,52.657798096774194
2026,8,13,48.49091316129032
2026,8,14,48.98816238709677
2026,8,15,57.42465783870968
2026,8,16,70.57706338709677
2026,8,17,107.77409177419355
2026,8,18,109.1196809032258
2026,8,19,123.84257958064516
2026,8,20,124.80244180645161
2026,8,21,120.36533716129033
2026,8,22,117.89485332258064
2026,8,23,103.46189741935484
2026,9,0,108.4941049
2026,9,1,104.6497101
2026,9,2,102.351872
2026,9,3,101.33717253333333
2026,9,4,101.66601086666667
2026,9,5,106.53503603333334
2026,9,6,125.01120166666666
2026,9,7,130.8996611
2026,9,8,128.78631186666667
2026,9,9,108.87598506666667
2026,9,10,88.33556476666666
2026,9,11,78.68012709999999
2026,9,12,66.728595
2026,9,13,61.8797539
2026,9,14,62.552480100000004
2026,9,15,71.04833773333333
2026,9,16,90.73221853333332
2026,9,17,122.43111043333333
2026,9,18,123.15564683333334
2026,9,19,139.98683403333334
2026,9,20,136.94186573333334
2026,9,21,131.74917196666667
2026,9,22,124.54535736666666
2026,9,23,114.14587039999999
2026,10,0,109.86456035483872
2026,10,1,106.12790206451614
2026,10,2,103.033767625
2026,10,3,103.11424716129032
2026,10,4,104.46293299999999
2026,10,5,111.18140061290323
2026,10,6,131.62835964516128
2026,10,7,142.36173277419354
2026,10,8,136.3119764516129
2026,10,9,126.15143193548387
2026,10,10,116.06782161290322
2026,10,11,106.11643216129033
2026,10,12,94.75876083870968
2026,10,13,91.89400364516129
2026,10,14,95.42051845161289
2026,10,15,109.37501683870967
2026,10,16,126.56341206451613
2026,10,17,142.83116048387097
2026,10,18,125.3659163548387
2026,10,19,128.06063793548387
2026,10,20,130.54645235483872
2026,10,21,124.25268387096774
2026,10,22,121.16246748387097
2026,10,23,114.10660541935484
2026,11,0,128.96485773333333
2026,11,1,125.9783293
2026,11,2,124.0002921
2026,11,3,123.17741603333334
2026,11,4,123.59519066666667
2026,11,5,127.65749493333333
2026,11,6,145.05020026666668
2026,11,7,160.4428188
2026,11,8,153.30916296666666
2026,11,9,146.83505223333336
2026,11,10,137.84580523333335
2026,11,11,131.29044926666668
2026,11,12,125.03467543333333
2026,11,13,125.09243846666666
2026,11,14,128.6740799
2026,11,15,139.6498965
2026,11,16,157.6277952
2026,11,17,171.9703155
2026,11,18,147.09643836666666
2026,11,19,141.598274
2026,11,20,142.79510113333333
2026,11,21,136.371692
2026,11,22,136.90186313333334
2026,11,23,131.0403608
2026,12,0,127.17678564516129
2026,12,1,124.31939
2026,12,2,122.29778974193549
2026,12,3,121.53020403225807
2026,12,4,121.91089925806452
2026,12,5,125.84914138709676
2026,12,6,135.94197112903225
2026,12,7,150.6870772580645
2026,12,8,143.6296486451613
2026,12,9,138.13233538709676
2026,12,10,139.35206577419356
2026,12,11,132.95309396774192
2026,12,12,126.26700603225807
2026,12,13,126.1272459032258
2026,12,14,129.6559758064516
2026,12,15,140.62318087096776
2026,12,16,157.79363083870967
2026,12,17,166.70488119354837
2026,12,18,149.90892854838708
2026,12,19,144.39905945161289
2026,12,20,144.74682187096772
2026,12,21,138.49448819354836
2026,12,22,137.55321816129035
2026,12,23,131.62516151612903
2027,1,0,121.59525306451614
2027,1,1,118.65644312903225
2027,1,2,116.5812004516129
2027,1,3,115.77628712903227
2027,1,4,116.16513477419355
2027,1,5,119.8036225483871
2027,1,6,124.87639164516129
2027,1,7,138.6599920645161
2027,1,8,136.0228005483871
2027,1,9,131.26629016129033
2027,1,10,130.48687303225807
2027,1,11,124.34421370967742
2027,1,12,118.6295084516129
2027,1,13,118.66772751612903
2027,1,14,121.43347993548387
2027,1,15,131.6497830967742
2027,1,16,148.1778572580645
2027,1,17,156.9075427419355
2027,1,18,142.69283529032256
2027,1,19,137.92352848387097
2027,1,20,133.70782348387095
2027,1,21,127.81931109677419
2027,1,22,131.12817312903226
2027,1,23,125.40700522580646
2027,2,0,136.1155535
2027,2,1,132.96935282142857
2027,2,2,130.83277717857143
2027,2,3,129.92875778571428
2027,2,4,130.4614092857143
2027,2,5,134.624762
2027,2,6,140.38733357142857
2027,2,7,156.10161060714287
2027,2,8,145.7683365
2027,2,9,140.35652735714285
2027,2,10,140.500869
2027,2,11,134.04873310714285
2027,2,12,128.38425650000002
2027,2,13,128.6720527142857
2027,2,14,131.33790585714286
2027,2,15,141.61032010714285
2027,2,16,159.10010753571427
2027,2,17,168.74725414285714
2027,2,18,152.0078415
2027,2,19,146.35005757142858
2027,2,20,148.64529564285712
2027,2,21,142.155252
2027,2,22,146.45127567857142
2027,2,23,140.14390967857142
2027,3,0,116.46858074193548
2027,3,1,113.95819567741937
2027,3,2,112.67831066666668
2027,3,3,111.41133990322581
2027,3,4,111.74187009677419
2027,3,5,114.89348541935485
2027,3,6,124.44408029032259
2027,3,7,136.93892112903228
2027,3,8,126.27287341935484
2027,3,9,121.97666993548388
2027,3,10,110.04821177419355
2027,3,11,104.75854880645161
2027,3,12,99.69380158064516
2027,3,13,99.4915710967742
2027,3,14,101.8271524516129
2027,3,15,110.35703258064515
2027,3,16,123.31981503225808
2027,3,17,141.91909683870966
2027,3,18,121.76630961290323
2027,3,19,117.18347477419356
2027,3,20,121.67544180645162
2027,3,21,116.6133115483871
